,Date,Team1,Team2,Team1_id,Team2_id,Winning_team_id,cancelled_match,floodlit,innings1_ball_limit,innings2_ball_limit,innings1_over_limit,innings2_over_limit,innings1_runs,innings2_runs,innings1_wickets,innings2_wickets,innings1_run_rate,innings2_run_rate
0,"Jan 15, 2018",Bangladesh,Zimbabwe,25,25,9,N,2,300,300,50.0,50.0,170,171,10,2,3.46,6.0
1,"Jan 17, 2018",Sri Lanka,Zimbabwe,9,8,9,N,2,300,300,50.0,50.0,290,278,6,10,5.8,5.77
2,"Jan 19, 2018",Bangladesh,Sri Lanka,25,25,8,N,2,300,300,50.0,50.0,320,157,7,10,6.4,4.85
3,"Jan 21, 2018",Sri Lanka,Zimbabwe,8,8,9,N,2,300,300,50.0,50.0,198,202,10,5,4.5,4.5
4,"Jan 23, 2018",Bangladesh,Zimbabwe,25,25,9,N,2,300,300,50.0,50.0,216,125,9,10,4.32,3.42
5,"Jan 25, 2018",Bangladesh,Sri Lanka,8,25,8,N,2,300,300,50.0,50.0,82,83,10,0,3.41,7.01
6,"Jan 27, 2018",Bangladesh,Sri Lanka,8,25,8,N,2,300,300,50.0,50.0,221,142,10,9,4.42,3.44
7,"Jan 11, 2018",United Arab Emirates,Ireland,29,27,29,N,1,300,300,50.0,50.0,222,226,9,6,4.44,4.58
8,"Jan 13, 2018",United Arab Emirates,Ireland,29,27,29,N,1,300,300,50.0,50.0,301,234,5,10,6.02,4.8
9,"Jan 16, 2018",Ireland,Scotland,29,29,30,N,1,300,300,50.0,50.0,219,223,10,4,4.43,6.4
10,"Jan 18, 2018",Ireland,Scotland,29,29,30,N,1,300,300,50.0,50.0,331,307,6,9,6.62,6.14
11,"Jan 21, 2018",United Arab Emirates,Scotland,30,27,30,N,1,300,300,50.0,50.0,249,218,8,10,4.98,4.68
12,"Jan 23, 2018",United Arab Emirates,Scotland,27,27,30,N,1,300,300,50.0,50.0,299,300,9,6,5.98,6.1
13,"Mar 4, 2018",Afghanistan,Scotland,30,40,30,N,1,300,300,50.0,50.0,255,256,10,3,5.13,5.4
14,"Mar 6, 2018",Ireland,Papua New Guinea,29,29,20,N,1,300,300,50.0,50.0,235,237,10,6,4.7,4.82
15,"Mar 6, 2018",United Arab Emirates,West Indies,4,27,4,N,1,300,300,50.0,50.0,357,297,4,6,7.14,5.94
16,"Mar 6, 2018",Zimbabwe,Afghanistan,9,9,40,N,1,300,300,50.0,50.0,196,194,10,10,4.55,3.91
17,"Mar 6, 2018",Hong Kong,Scotland,30,19,30,N,1,300,300,50.0,50.0,91,92,10,6,2.37,3.91
18,"Mar 8, 2018",Papua New Guinea,West Indies,4,20,4,N,1,300,300,50.0,50.0,200,201,10,4,4.68,4.67
19,"Mar 8, 2018",Afghanistan,Hong Kong,19,40,19,N,1,300,276,50.0,46.0,241,195,8,9,4.82,4.23
20,"Mar 10, 2018",Ireland,West Indies,4,29,4,N,1,300,300,50.0,50.0,257,205,8,10,5.14,4.42
21,"Mar 10, 2018",Zimbabwe,Hong Kong,9,9,19,N,1,300,300,50.0,50.0,263,174,9,10,5.26,3.71
22,"Mar 12, 2018",Ireland,United Arab Emirates,29,29,27,N,1,264,264,44.0,44.0,313,91,6,10,7.11,3.08
23,"Mar 15, 2018",Afghanistan,West Indies,40,40,4,N,1,300,300,50.0,50.0,197,198,8,7,3.94,4.15
24,"Mar 15, 2018",Scotland,United Arab Emirates,30,30,27,N,1,300,300,50.0,50.0,322,249,6,10,6.44,5.22
25,"Mar 16, 2018",Zimbabwe,Ireland,9,9,29,N,1,300,300,50.0,50.0,211,104,9,10,4.22,3.02
26,"Mar 17, 2018",Hong Kong,Papua New Guinea,20,19,20,N,1,300,300,50.0,50.0,200,142,10,10,4.13,4.01
27,"Mar 18, 2018",Ireland,Scotland,29,29,30,N,1,300,300,50.0,50.0,271,246,9,10,5.42,5.16
28,"Mar 19, 2018",Zimbabwe,West Indies,4,9,4,N,1,300,300,50.0,50.0,289,290,10,6,5.78,5.91
29,"Mar 20, 2018",Afghanistan,United Arab Emirates,40,40,27,N,1,300,300,50.0,50.0,177,178,10,5,4.11,5.15
30,"Mar 21, 2018",Scotland,West Indies,4,30,4,N,1,300,212,50.0,35.2,198,125,10,5,4.06,3.53
31,"Mar 22, 2018",Zimbabwe,United Arab Emirates,27,9,27,N,1,287,240,47.5,40.0,235,226,7,7,4.91,5.65
32,"Mar 23, 2018",Afghanistan,Ireland,40,40,29,N,1,300,300,50.0,50.0,209,213,7,5,4.18,4.33
33,"Mar 25, 2018",Afghanistan,West Indies,40,40,4,N,1,300,300,50.0,50.0,204,206,10,3,4.35,5.06
34,"Feb 9, 2018",Afghanistan,Zimbabwe,40,40,9,N,2,300,300,50.0,50.0,333,179,5,10,6.66,5.16
35,"Feb 11, 2018",Afghanistan,Zimbabwe,9,40,9,N,2,300,300,50.0,50.0,333,179,5,10,6.66,5.93
36,"Feb 13, 2018",Afghanistan,Zimbabwe,40,40,9,N,2,300,300,50.0,50.0,154,158,10,4,4.46,5.74
37,"Feb 16, 2018",Afghanistan,Zimbabwe,40,40,9,N,2,300,300,50.0,50.0,134,135,10,0,3.52,6.37
38,"Feb 19, 2018",Afghanistan,Zimbabwe,40,40,9,N,2,300,300,50.0,50.0,241,95,9,10,4.82,2.95
